id,created_at,favorite_count,retweet_count,text
1412087890230788102,2021-07-05 16:36:03,0.0,0.0,"On Monday morning, the former president Zuma's homestead in Nkandla, that descended into chaos over the last couple of days, was peaceful with no supporters present. Some of his supporters said they were resting ahead of his court application on Tuesday

https://t.co/DatOPm0Ecr"
1412087568037040132,2021-07-05 16:34:46,28.0,5.0,https://t.co/EHi1VL1StC https://t.co/oIo36QEMD0
1412087446213476354,2021-07-05 16:34:17,0.0,0.0,"life gives everyone an opportunity.

the opportunity: https://t.co/YaT4n7cqa9"
1412087270178439172,2021-07-05 16:33:35,43.0,2.0,🖤🇿🇦 https://t.co/0V8knXLgET
1412086467552292873,2021-07-05 16:30:23,11.0,6.0,"For the ConCourt to rescind their decision, Zuma must demonstrate that his sentence is at odds with his misbehaviour and he has to provide proof of that disproportionality, writes UJ politics Professor Mcebisi Ndletyana. 

“That’s a tall order!”

https://t.co/zmdctvswH6"
1412086451345440769,2021-07-05 16:30:19,1.0,0.0,🙆🏾‍♂️ https://t.co/8DoJ1wxKm6
1412086340930490375,2021-07-05 16:29:53,29.0,2.0,Are you happy with your ministers?
1412086132691636229,2021-07-05 16:29:03,14.0,1.0,"Hundreds of police officers gathered at the Orlando Stadium, but this time it was not for crowd management or crime prevention but rather to finally get the Johnson &amp; Johnson vaccine. | @Sesona_Ngqaks 

https://t.co/chYS90uZW1"
1412085998608080899,2021-07-05 16:28:32,3.0,0.0,😂 https://t.co/Ga7a13PzYn
1412085920996732934,2021-07-05 16:28:13,9.0,3.0,"A woman was airlifted off Lion’s Head on Monday morning after sustaining an injury while hiking. | @nickymccain 

https://t.co/YBaSpQ0ofk"
1412085870610550790,2021-07-05 16:28:01,60.0,10.0,"Gents, if you're in your hustling phase in life, stay away from multiple partners, they'll delay your progress🤞🏾"
1412085784140730370,2021-07-05 16:27:40,1.0,1.0,Lmfao beginning of Lock Down had people losing their minds 🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/0KyQlHxmNR
1412085572076724225,2021-07-05 16:26:50,2.0,0.0,Been a while 😭 https://t.co/TKpuujzwhK
1412085463331098629,2021-07-05 16:26:24,3.0,0.0,My leader https://t.co/3oxc5pWcgn
1412085383849037827,2021-07-05 16:26:05,5.0,0.0,🙏🏾 https://t.co/0lRsBg18Dh
1412084542190522374,2021-07-05 16:22:44,37.0,5.0,I’m not motivated by weight lose anymore but I enjoy feeling strong and less tired.Working out feels sooo good man.
1412084397667360770,2021-07-05 16:22:10,32.0,5.0,"Be Ready Comrades will abandon their Ships, because the Captain that they thought will bring change is drowning the SHIP."
1412083979587575811,2021-07-05 16:20:30,65.0,27.0,"The Eswatini government has allegedly told the SADC that guns smuggled from SA are being used to kill its citizens. The guns, the government allegedly said, came from EFF in South Africa &amp; were given to its sister organisation, the EFF of Swaziland.

https://t.co/ySSCNcHRNg"
1412083699575836681,2021-07-05 16:19:23,24.0,4.0,"60% of Professionals ain't involved in politics. That's where the problem come from.

We should all be involve and take decisionz"
1412083330078679044,2021-07-05 16:17:55,25.0,6.0,Why was his house bombed twice in 80's by Comrades?
1412083011819126784,2021-07-05 16:16:39,73.0,13.0,"Girls usually don't buy alcohol with their own money, if you see her buying with her own cash just know she has a drinking problem"
1412082636349132804,2021-07-05 16:15:10,13.0,4.0,"Central banks may be regaining their appetite for buying gold after staying on the sidelines for the past year. | @Fin24 

https://t.co/I0BtQDG3hd"
1412082623594254336,2021-07-05 16:15:07,2.0,1.0,Thanks for the follow 💪🏼@2021AFRICA
1412082329191919616,2021-07-05 16:13:57,47.0,0.0,Phone calls from my man’s mom 😂😂💖💖💖 &gt;&gt;&gt;
1412082217535291394,2021-07-05 16:13:30,61.0,24.0,"The law system is like bleach, works perfect for whites but destroys colours. Selective prosecution doesn't serve justice. https://t.co/5dCwOMriih"
1412082191736188933,2021-07-05 16:13:24,3.0,0.0,@LibhoGeza Babyyy 🥰
1412081988325027847,2021-07-05 16:12:35,105.0,20.0,U a strong nigga if u playing step dad in ur 20s 🤣
1412081762382004224,2021-07-05 16:11:42,19.0,2.0,"Bafana Bafana head coach Helman Mkhalele and goalkeeping coach Lucky Shiburi are in isolation away from the rest of the squad following a round of Covid-19 screening tests on Monday. | @Sport24news 

https://t.co/C0JKLriEBp https://t.co/bRLot0TqQJ"
1412081463013658626,2021-07-05 16:10:30,127.0,25.0,"Salaries  can be the same, but responsibilities  differ. Stop judging  workmates  that don't  rock new clothes  like you....

Focus!!!!!"
1412081231634837505,2021-07-05 16:09:35,37.0,4.0,"R1 × R12 = R12 × 365 = R43 800.
Start Saving Your R1 Now 🙏 https://t.co/weOfQBdbl7"
1412081202614390786,2021-07-05 16:09:28,0.0,0.0,🤣🤣 https://t.co/5YZiX3PIdF
1412081018643927041,2021-07-05 16:08:44,82.0,13.0,"R1 × R12 = R12 × 365 = R43 800.
Start Saving Your R1 Now 🙏"
1412080894479843328,2021-07-05 16:08:15,485.0,89.0,"Men should stop feeling useless without money, Guys we don't owe anyone any soft / lavish life. Focus on your goals and growth as a person."
1412080641257132038,2021-07-05 16:07:14,17.0,2.0,"The police sector will officially start its vaccination programme on 8 July.

Police Minister Bheki Cele says it has been a long time coming and they have been waiting for the programme because officers are always in the frontline. | @Sesona_Ngqaks 

https://t.co/fulmOWdrew"
1412080301933838353,2021-07-05 16:05:53,42.0,39.0,"The price of 93 unleaded and leaded petrol will increase by 29c/l and 95 unleaded and leaded petrol by 26c/l with effect from Wednesday | @Fin24 

https://t.co/zDR6lMPyTa"
1412079006988578820,2021-07-05 16:00:45,0.0,0.0,if I can clean recycle all plastics and water bottles from entering the ocean I can stop this https://t.co/OsSMTQpc0f
1412078880291184642,2021-07-05 16:00:14,24.0,5.0,"Friends, sindehlule, ndithini?"
1412078879020400640,2021-07-05 16:00:14,0.0,0.0,"I don't care if she is faking or not. As long as she is not quiet, and the moan sounds good to me I am good. Lastly, as long as I feel good about what I am doing."
1412078700850561028,2021-07-05 15:59:32,36.0,1.0,Yho💦🥵 https://t.co/qzj9TSfECf
1412076960499617798,2021-07-05 15:52:37,463.0,65.0,"ConCourt: You Jacob Zuma have 5 days to hand yourself over

Jacob Zuma on The 7th day: https://t.co/H6RLxvdJDl"
1412076803271938053,2021-07-05 15:51:59,561.0,40.0,Sun kissed and peachy 🍑✨ video by @LibhoGeza https://t.co/WyyFfhBbxX
1412076332918378497,2021-07-05 15:50:07,360.0,40.0,📀
1412075984296239104,2021-07-05 15:48:44,60.0,7.0,"Duduzani: ""We've got the spirit, yes we do! we've got the spirit, how about you!!!"" https://t.co/iXOr1OGZ1y"
1412075941279453186,2021-07-05 15:48:34,8.0,0.0,My taste !!! https://t.co/WcNJUlHiDb
1412075724488560640,2021-07-05 15:47:42,1.0,0.0,"Her phone rang and she went outside to answer it. I immediately knew that there is no relationship, we are just fucking. Maybe role playing as boyfriend and girlfriend."
1412075084362174466,2021-07-05 15:45:09,14.0,3.0,"You can say ‘jir’ on the radio, ad regulator rules – and religious rules don’t apply in SA | @BISouthAfrica 

https://t.co/Td7IiFBL1a https://t.co/cDzJK3mGjQ"
1412074442038124555,2021-07-05 15:42:36,135.0,95.0,Females drivers needed at Kayreed. If intrested email CV to HR@kayreed.co.za Good luck.
1412074298681012230,2021-07-05 15:42:02,19.0,4.0,"The Constitutional Court has turned down an application by a group of parents and care givers who say they have not been able to find suitable places in schools for their charges in the Western Cape.

https://t.co/bInoQw4JgX"
1412074121912016901,2021-07-05 15:41:20,12.0,8.0,"Three people, including a two-month-old baby, have been killed, while 14 others have been injured after a minibus and a truck collided near Underberg on Monday. | @CebohNyambose 

https://t.co/UNwCklKVfg"
1412073553973895173,2021-07-05 15:39:04,84.0,84.0,Security officers with drivers license needed. Good luck. https://t.co/5ToJ174QTg
1412073444120879120,2021-07-05 15:38:38,1.0,1.0,Why ungasho ma ufuna ngihambe? https://t.co/DlP6YX9baW
1412073187240783874,2021-07-05 15:37:37,18.0,10.0,"Scores of City Power employees were left stranded on Monday morning when a group of protesters denied them access to the building. Workers stood next to their vehicles outside their offices in Booysens, Johannesburg. | @ntwaagae 

https://t.co/ZlmyhDAUsh"
1412073167787642880,2021-07-05 15:37:32,30.0,2.0,"Happy birthday to @nelsonmakamo , may God bless you and you give you more life to come.

Modimolle loves you ❤️. Homie 

#NelsonMakamo https://t.co/N5xRL8lkmz"
1412073055069876224,2021-07-05 15:37:06,0.0,0.0,Once I see a condom I skip that video. I don't see how safe and porn can go together. Or maybe it's because WWRAW is my all time favourite.
1412072996873936908,2021-07-05 15:36:52,10.0,2.0,Small accounts drop your CDs below and follow everyone back 📀💿📀💿📀💿
1412072081358037002,2021-07-05 15:33:13,13.0,3.0,Coming soon 🚀🚀🚀❤️ #Foreverstrong  By @Arabicpiano https://t.co/0bXhndNZe8
1412071419832373253,2021-07-05 15:30:36,1.0,0.0,Miguel: NPR Music Tiny Desk Concert https://t.co/fBIk4pix6V via @YouTube
1412071381085347840,2021-07-05 15:30:26,3.0,3.0,"Mountain bike brand, Hope, has teamed up with Lotus to build a cutting edge bicycle for the British Track Cycling team. The Hope Lotus collaboration solves aerodynamic efficiencies for the rider and bicycle as a package. | @ride24_sa 

https://t.co/IUZQoMcPTZ"
1412070067743961089,2021-07-05 15:25:13,0.0,0.0,Since 1994 we are a developing country 😂😂😂
1412069042110730240,2021-07-05 15:21:09,23.0,6.0,"The ANC National Executive Committee is set to discuss issues around the party's former president Jacob Zuma and potentially the volatile political situation brewing in KwaZulu-Natal. | @pule_jones 

https://t.co/QJOYsUF4Pk"
1412068908912283648,2021-07-05 15:20:37,707.0,111.0,"No rest days for bread winners unless if you have developed something that can afford you rest, if not then you SHOW UP EVERYDAY whether you like it or not!"
1412068884916604929,2021-07-05 15:20:31,1.0,0.0,"#PushaPhanda - Today we are learning about Siko Republik is a locally manufactured athleisure wear brand.
#TheKingsSuite https://t.co/lbtWMS5hB3"
1412068057799929856,2021-07-05 15:17:14,0.0,0.0,When do you do all this tests 😂😂 https://t.co/V2BtlZOI90
1412067825234202631,2021-07-05 15:16:19,0.0,0.0,@News24 @WitnessKZN Well done KZN GOV keep cooking up those numbers 😂😂
1412067678915809280,2021-07-05 15:15:44,2033.0,433.0,"Have u ever put on a fake smile for pictures before? 😂🤣
#BTS https://t.co/A2dZdjoZK3"
1412067564885323780,2021-07-05 15:15:17,29.0,1.0,"Which verse on #HambaNaye is your most favourite? 

Also check out the beautiful music video on YouTube ♥️ https://t.co/3ka1JAnRLo"
1412067532396236809,2021-07-05 15:15:09,58.0,28.0,"Discovery Health has opened a mass vaccination site at Gallagher Convention Centre in Midrand. Sanlam has set up vaccination sites in all three of SA's busiest metros. | @Fin24 

https://t.co/ZIhvTXA2iU"
1412067027997634564,2021-07-05 15:13:09,2.0,0.0,🕯🕯 please Lord deal with the people that scroll past our tweets even though we like and comment on theirs. You the beginning and end.
1412066673553821706,2021-07-05 15:11:44,0.0,0.0,one way or another it all starts with you.
1412066247525679105,2021-07-05 15:10:02,0.0,0.0,sometimes we don't want the things we wanted the most.
1412065375504715784,2021-07-05 15:06:35,62.0,1.0,"I watch one series at a time on Netflix, I struggle to watch 2 or more at the same time, so now that I’m finally caught up Outlander, let me watch something else...but what? There’s always so much 🤯"
1412064553966448648,2021-07-05 15:03:19,7.0,3.0,"Former deputy Minister of Justice &amp; Correctional Services Thabang Makwetla says it has ""pained"" him that he was appearing before an inquiry that is probing state capture, corruption and fraud because of former Bosasa employee Richard le Roux | @J_chabalala
https://t.co/sve5ezzOYC"
1412064157524955138,2021-07-05 15:01:44,37.0,5.0,"Africa's well-heeled consumers and the rest of the world are embracing African luxury brands more. This has seen brands like Rich Mnisi and Maxhosa Africa soar to new heights. | @Fin24 

https://t.co/7Yj8t6s64r"
1412063610243797002,2021-07-05 14:59:34,0.0,0.0,@News24 Nimtshele ke nani ukuthi sithi uyas’dakelwa!
1412063081308491776,2021-07-05 14:57:28,0.0,0.0,@News24 Ayisimele Inkatha
1412062094720180231,2021-07-05 14:53:32,145.0,13.0,"Drop your favorite Emoji

Mine 🤸🏽‍♂️"
1412061942450110466,2021-07-05 14:52:56,17.0,0.0,"Then when you complain he then say: ""ave uthand'ukukhuluma Mathaba"" 😔 https://t.co/Eq2E2JgkHY"
1412059980715511815,2021-07-05 14:45:08,21.0,4.0,"Pope Francis was recovering in hospital on Monday from surgery for an inflamed large colon, a potentially painful condition that could see him bed-bound for several days.

https://t.co/vlFTNgssos"
1412059827552112643,2021-07-05 14:44:32,63.0,6.0,"Blessed Monday ❤️ Ngiyabonga baba featuring Jumbo and Prince Bulo. Available on #RockstarForever. Check out #DjTirasParty on YouTube for more action 🔥🔥🔥🔥

https://t.co/PrpUL0VIiV https://t.co/DldNkgIPKA"
1412058519587725314,2021-07-05 14:39:20,377.0,32.0,How I use a puplic Toilet https://t.co/NaCYtzyTtg
1412058317824958465,2021-07-05 14:38:32,531.0,27.0,"Leo season approaching and I’m feeling hot, hot like a heater 🤣🔥 https://t.co/IlV1woW0IN"
1412056280588591121,2021-07-05 14:30:26,94.0,24.0,"Furious Telkom users are demanding answers from the telecoms giant for slow to non-existent connections to cellphone and wi-fi networks. | @WitnessKZN 

https://t.co/dpYW0aMus9"
1412054525620404226,2021-07-05 14:23:28,368.0,76.0,You spelt “steak &amp; kidney” wrong. https://t.co/f3YSnu5LqP
1412053733278691337,2021-07-05 14:20:19,7.0,0.0,#SweetSpot today is The Notorious B.I.G with Juicy chosen by Falo from the Free State. Share your memories in music via VN to 0681999999 #TheKingsSuite https://t.co/s0rQrspEz1
1412053279341678593,2021-07-05 14:18:31,34.0,2.0,Thank you ♥️ https://t.co/PuoHmFBrL9
1412052944472662025,2021-07-05 14:17:11,155.0,56.0,Wynberg Ward 91 https://t.co/GyhkVuglF1
"{'id': 1412087557748297729, 'id_str': '1412087557748297729', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/E5i-JvdWEAEmq8m.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/E5i-JvdWEAEmq8m.jpg', 'url': 'https://t.co/oIo36QEMD0', 'display_url': 'pic.twitter.com/oIo36QEMD0', 'expanded_url': 'https://twitter.com/casspernyovest/status/1412087568037040132/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 498, 'h': 206, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 206, 'resize': 'fit'}, 'small': {'w': 498, 'h': 206, 'resize': 'fit'}}}",,,,
