id,created_at,favorite_count,retweet_count,text,followers_count
1419403624237703168,2021-07-25 21:06:09,0,0,Ayanda come expropriate my savings😭😭 https://t.co/qdT3oazbOx,117998
1419402683086147585,2021-07-25 21:02:25,17,1,"Getting a tattoo this week because aunt Khenni said akhomntu ungazobana tattoo apha.

 https://t.co/6cz7NWO1x9",43774
1419402606078738442,2021-07-25 21:02:07,1,0,Eyyyyy https://t.co/QjVN5P7KKv,69943
1419401674297315336,2021-07-25 20:58:25,1,0,Zola 7 really gone??😫😫,82439
1419401410073042946,2021-07-25 20:57:22,8,0,😭😭😭Come on Duna https://t.co/RDZRW4HsSl,43774
1419399664944746509,2021-07-25 20:50:25,23,2,I heard about a cramp that runs through to the butt? Ayyy,43774
1419399101129666568,2021-07-25 20:48:11,23,3,Periods sound and seem like hell?,43774
1419398751962255363,2021-07-25 20:46:48,197,10,Did tonight’s family meeting restore any hope for some of you?,2743800
1419398614862946309,2021-07-25 20:46:15,10,0,"There has been way more greater content this year, the competition is unmatched.. Tweeps went all out this year... They pulled out the best and enjoyable content 👌🏾 I can't compete with any of that https://t.co/6DI20Xh5WB",585231
1419398297123541005,2021-07-25 20:44:59,39,3,"*country’s 

Excuse my typos. I type really quickly and don’t always proofread properly. I’m flawed lol. But my heart is in the right place I believe.",2743800
1419397934345564166,2021-07-25 20:43:33,60,11,"Definitely taking a break after today yooo my head is heavy 🤣🤣🤣

 https://t.co/1oTTd3rL4o",396082
1419397776518041608,2021-07-25 20:42:55,4,0,"I’m so hungry bawo wam but I ate about 2 hours ago, what’s this???",43774
1419397656405811215,2021-07-25 20:42:27,144,20,And if you know of any child headed house holds… have Ubuntu if God has supplied you with more than you need… those strong children surviving on their own are the heroes of this countries future… invest in them. ✨❤️,2743800
1419397521323986949,2021-07-25 20:41:54,10,2,I need a Masonwabe Ntloko tyali for that vaccination queue bawo wam.,43774
1419397317824761863,2021-07-25 20:41:06,152,14,Also… a thought to all those struggling with the compounded issues this planet and country are dealing with. My thoughts and prayers are with the homeless and poor tonight… those who think they have no reason to live or carry on… you matter. ❤️,2743800
1419397065541554177,2021-07-25 20:40:06,10,0,Burner Boy 😭 https://t.co/HznKuZQFVG,66790
1419396924944396298,2021-07-25 20:39:32,351,30,Goodnight everyone … I hope hope and faith is restored in all major parts of despair for you and those you love on this night. ✨❤️,2743800
1419396640847323139,2021-07-25 20:38:24,24,2,I’m quite a good cook. You’d survive. Trust me. https://t.co/anMEMDEbHG,2743800
1419396404569587719,2021-07-25 20:37:28,39,2,OK bring the deleted screenshots so I can do the Bulletin. 🤣🤣🤣,117998
1419395928717467649,2021-07-25 20:35:35,0,0,"I have just remembered that once a girl told me that I hated her, she was so convinced. I tried saying I didn't, but she kept on insisting. 6 months later, we were in a very serious relationship. It all started with me trying to prove I didn't hate her. But anyway I was only 18.",5335
